,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
10,"Labcosi Farmhouse Floating Shelves for Wall, 17 Inch Rustic Shelves and Solid Wood Display Rack for Bathroom, Bedroom, Toilet, Kitchen, Office, Living Room (Rustic White)",B08H8GNZSZ,Lab Cosi,27.99,346.0,9684.54,61755.0,10.18,10,4.4,270.0,8,12.0,Labcosi,Home & Kitchen,Large Standard-Size,FBA,6.6x17.4x4.9,4.65,9/2/2020
11,"Set of 2 BATODA 17"" Floating Shelves Wall Mounted with Invisible Brackets –White Floating Shelves Small - Rustic Acacia Wood Wall Storage Shelf for Home Décor - 6” Depth, 1.6” Thick (White)",B08MQFZJ17,BATODA,29.97,83.0,2487.51,98411.0,11.68,1,4.0,73.0,8,7.0,BATODA,Home & Kitchen,Large Standard-Size,FBA,7.4x17.5x3.8,7.01,7/3/2020
12,"BAMFOX Floating Wall Shelf Set of 2,Natural Bamboo Wall Decor Storage Shelf，Wall Mount Display Rack for Bedroom, Living Room, Bathroom, Kitchen, Office and More",B07WTVBZF7,BAMFOX,32.99,1555.0,51299.45,12049.0,13.26,1,4.5,1991.0,8,52.0,BAMFOX,Home & Kitchen,Large Standard-Size,FBA,6.3x17.1x3.3,7.6,
13,"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack",B08DPXTM3C,Sophia Mills,49.99,1065.0,53239.35,20341.0,15.28,1,4.7,393.0,6,54.0,Two Day Direct,Home & Kitchen,Large Standard-Size,FBA,8.1x17.6x4.1,9.55,7/27/2020
14,"($) AZL1 Life Concept Accent Utility Levie Rustic Modern Floating Corner Wood Wall Shelves for Living Room Kitchen Home Office and More, 12 inches, Walnut 1",B08PMPVNR4,AZL1 Life Concept,49.99,90.0,4499.1,52689.0,19.96,4,4.6,184.0,7,0.0,Amazon,Home & Kitchen,Small Oversize,AMZ,15.2x15.5x6.4,7.35,4/3/2021
15,"($) Klvied Floating Shelves Wall Mounted Set of 4, Rustic Wood Wall Shelves, Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More, Brown",B092VK11QQ,Klvied,27.99,1037.0,29025.63,9585.0,10.48,1,4.4,234.0,9,-29.0,EdenGift,Home & Kitchen,Large Standard-Size,FBA,7.1x17.2x5.9,4.57,4/19/2021
16,"($) Giftgarden 36 Inch Large Floating Shelves for Wall Set of 3, Rustic Picture Ledge Wall Shelf for Bedroom Kitchen Bathroom Living Room Nursery Display, 3 Different Sizes",B087RG2L6L,Giftgarden,47.99,4351.0,208804.49,3012.0,18.89,4,4.6,4422.0,9,270.0,GIFT GARDEN,Home & Kitchen,Small Oversize,FBA,6.5x38.0x3.5,8.15,4/28/2020
17,"Floating Wall Shelves Set of 3, Black Metal Wire Hanging Rustic Storage Shelf Decor Organizer for Bedroom Bedside Kitchen Bathroom Living Room",B07VMQ7F47,ZBEIVAN,23.99,503.0,12066.97,67481.0,9.88,1,4.5,1695.0,8,20.0,Dreamyard,Home & Kitchen,Large Standard-Size,FBA,6.5x16.7x6.0,3.3,7/26/2019
18,Love-KANKEI Floating Shelves Wall Mounted Set of 2 Rustic Wood Wall Shelves for Bedroom Living Room Bathroom Kitchen Office and More Carbonized Black,B07XDHK395,Love-KANKEI,16.99,1698.0,28849.02,19891.0,7.5,2,4.3,3143.0,8,49.0,Kankei LLC,Home & Kitchen,Large Standard-Size,FBA,6.9x17.2x2.1,1.63,
19,"Giftgarden 16 Inch Floating Shelves for Wall Set of 3, Rustic Wall Mounted Picture Ledge Wooden Wall Shelf for Living Room Bedroom Kitchen Bathroom, 3 Different Sizes",B087RFGGZS,Giftgarden,22.99,4351.0,100029.49,3012.0,9.43,10,4.6,4422.0,9,230.0,GIFT GARDEN,Home & Kitchen,Large Standard-Size,FBA,6.9x17.3x3.4,3.66,4/28/2020
20,"Piorlado Black Floating Shelves for Wall, Wall Shelves Set of 3, Wall Mounted Shelves for Bedroom, Hallway, Office, Living Room",B087Q5SLQT,piorlado,22.99,1241.0,28530.59,15410.0,9.73,1,4.5,1039.0,8,40.0,Joinhub,Home & Kitchen,Large Standard-Size,FBA,6.5x17.7x2.8,4.72,4/27/2020
21,"Tribal Cooking Shelves - Wall Floating Shelves - Decorative Wooden Wall Shelf - Set of 3 Easy to Mount Shelves with Black Brackets for Bedroom, Bathroom, Farmhouse, Rustic or Modern Home Decor",B088D9CBN6,Tribal Cooking,12.99,1347.0,17497.53,26424.0,7.63,1,4.2,680.0,9,75.0,ARLQS,Home & Kitchen,Large Standard-Size,FBA,4.7x17.4x3.1,2.42,5/9/2020
22,"WOOD CITY Black Floating Shelves for Wall, Invisible Wall Mounted Display Shelf Set of 2, Modern Wood Small Display Shelfs with Matte Finish, Perfect for Bathroom Decoration Office and More",B08GKQ52BB,WOOD CITY,28.98,233.0,6752.34,177336.0,10.33,4,4.2,251.0,6,16.0,US KIDS TOY,Home & Kitchen,Large Standard-Size,FBA,5.8x16.4x2.4,3.12,8/24/2020
23,"OMYSA Boho Wall Hanging Shelf - Set of 2 Wood Hanging Shelves for Decor, Plants, Book - Farmhouse Rustic Small Shelf for Bedroom Bathroom Living Room - Triangle Window Rope Plant Wooden Shelf - Brown",B07LCZ39XV,OMYSA,28.99,1700.0,49283.0,8380.0,10.02,1,4.6,3083.0,7,70.0,Omysa,Home & Kitchen,Large Standard-Size,FBA,5.7x17.9x2.3,2.58,11/28/2018
24,"Sorbus Floating Shelf Set — Rustic Wood Hanging Rectangle Wall Shelves — Perfect for Home Décor, Trophy Display, Photo Frames, and More (3-Pack, Grey)",B07PV3H4WQ,Sorbus,31.99,2203.0,70473.97,3934.0,11.38,1,4.6,3556.0,5,33.0,SELL BELOW COST,Home & Kitchen,Large Standard-Size,FBA,6.6x17.7x5.6,5.73,
25,"BAMEOS Floating Shelf ,Wall Shelf,Decor Wall Mounted Shelves ,Hanging Shelf Set L24xW6 for Bathroom Kitchen Living ,Kitchen,Room Bedroom Storage,Black",B08CVRQ85G,BAMEOS,32.99,4678.0,154327.22,2872.0,16.5,2,4.4,2617.0,7,258.0,US furniture,Home & Kitchen,Small Oversize,FBA,6.1x24.6x3.3,5.75,
26,"Cq acrylic 15"" Invisible Acrylic Floating Wall Ledge Shelf, Wall Mounted Nursery Kids Bookshelf, Invisible Spice Rack, Clear 5MM Thick Bathroom Storage Shelves Display Organizer, 15"" L,Set of 4",B07R4VY8XR,Cq acrylic,21.99,1100.0,24189.0,18755.0,9.27,1,4.7,3652.0,6,34.0,Cq acrylic,Home & Kitchen,Large Standard-Size,FBA,6.3x16.2x4.9,3.33,4/24/2019
27,"Rustic Farmhouse 3 Tier Floating Wood Shelf - Floating Wall Shelves (Set of 3), Hardware and Fasteners Included (Dark Walnut, 3 Tier)",B07KNBDXM3,Mark One Home Goods,49.99,369.0,18446.31,59503.0,19.57,1,4.4,2441.0,6,27.0,Mark One Home Goods,Home & Kitchen,Small Oversize,MFN,6.3x24.2x5.9,9.3,11/17/2018
28,"Klvied Floating Shelves Wall Mounted Set of 4, Rustic Wood Wall Shelves, Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More, Brown",B092VK11QQ,Klvied,27.99,1037.0,29025.63,9585.0,10.48,1,4.4,234.0,9,-29.0,EdenGift,Home & Kitchen,Large Standard-Size,FBA,7.1x17.2x5.9,4.57,4/19/2021
29,"($) Floating Shelves,INOMO Widen Rustic Wood Shelf Wall Mounted Hanging Shelf Real Solid Wood Wall Storage Shelf Set of 2 for Bedroom, Bathroom, Living Room, Kitchen, Photos, Book, Decorations Black",B09G5N8BWN,INOMO,29.95,4.0,119.8,812370.0,10.17,1,,,7,0.0,INOMO Direct,Home & Kitchen,Large Standard-Size,FBA,11.0x17.0x2.0,2.6,4/7/2021
30,"($) Floating Shelves for Wall, SWTYMIKI Rustic Wood Wall Mounted Shelf Set of 2 Farmhouse Storage & Wall Decor Hanging Shelves for Bathroom, Bedroom, Living Room, Kitchen, Office Home Decoration, Black",B09C8H3JN5,SWTYMIKI,23.99,2.0,47.98,365697.0,9.27,1,,,1,0.0,dongge store,Home & Kitchen,Large Standard-Size,FBA,6.3x17.1x3.0,2.5,8/10/2021
31,"($) Floating Shelves Rustic Wood Wall Shelf USA Handmade | Set of 2 (Grey, 15"" x 5.5"")",B0921M33QR,Imperative Décor,44.97,2435.0,109501.95,5584.0,,1,4.5,4366.0,7,147.0,Imperative Décor,Home & Kitchen,,MFN,6.0x24.0x6.0,,9/12/2018
32,"Rustic Farmhouse 3 Tier Justified Floating Wood Shelf - Floating Wall Shelves (Set of 3), Hardware and Fasteners Included (Walnut, 24"")",B07Z5FNRTK,Mark One Home Goods,64.99,687.0,44648.13,48310.0,22.21,1,4.4,2037.0,8,49.0,Mark One Home Goods,Home & Kitchen,Small Oversize,MFN,6.0x25.0x5.0,10.75,10/23/2019
33,"SRIWATANA White Floating Shelves, Wood Storage Wall Shelves Set of 4 Display Ledge Shelves Decor for Bedroom, Living Room, Bathroom, Kitchen - White",B095WN179H,SRIWATANA,34.99,269.0,9412.31,22223.0,17.71,1,4.5,7.0,8,0.0,SRW USA,Home & Kitchen,Small Oversize,FBA,11.0x25.2x5.1,5.6,
34,"ZGO Floating Shelves for Wall Set of 3, Wall Mounted Storage Shelves with Metal Frame for Bathroom, Bedroom, Living Room, Kitchen, Office",B08DJ1PFKT,ZGO,28.99,208.0,6029.92,321442.0,10.15,1,4.5,211.0,6,5.0,ZGO K&B,Home & Kitchen,Large Standard-Size,FBA,6.3x17.4x3.7,3.44,
35,"Undereave Floating Shelves, Wall Shelves for Bedroom, Bathroom, Kitchen, Living Room, Rustic Wood Wall Mounted Shelves, Set of 4",B093PML1FM,UNDEREAVE,23.99,190.0,4558.1,157875.0,10.57,1,4.4,54.0,7,20.0,Undereave,Home & Kitchen,Large Standard-Size,FBA,6.6x17.5x4.8,3.92,4/28/2021
36,"BAOBAB WORKSHOP Wood Floating Shelves Set of 2 - Rustic Shelf 24 inch - Made in Europe - Wide Wooden Wall Shelves for Living Room Bedroom Kitchen Bathroom Farmhouse - Walnut Color - 24"" x 6.7""",B07KKCDQQL,BAOBAB WORKSHOP,64.99,1065.0,69214.35,14115.0,22.21,1,4.7,1621.0,7,73.0,Baobab Workshop,Home & Kitchen,Small Oversize,FBA,7.0x24.7x2.7,10.4,11/15/2018
37,"SONGMICS Floating Wall Shelf 15.7 inch, Easy Install for Decorative Display Corner Invisible Bracket Support, White ULWS14WT",B076KSCL19,SONGMICS,19.99,394.0,7876.06,55545.0,8.98,13,4.6,871.0,9,13.0,Songmics Direct,Home & Kitchen,Large Standard-Size,FBA,7.9x17.3x4.0,2.91,
38,"White Floating Shelves for Wall,Wall Shelves with Camber Yellow Golden Metal Brackets-White Shelves Set of 3 for Bedroom Bathroom Living Room Kitchen (White)",B08TQRXCMY,KURTVANA,32.99,887.0,29262.13,34245.0,11.77,1,4.5,331.0,6,23.0,KURTVANA US,Home & Kitchen,Large Standard-Size,FBA,8.0x17.5x5.2,6.68,1/22/2021
39,BAMFOX Floating Shelves Set of 2，Natural Bamboo Wall Shelf Wall Mounted Shelves，Wall Mount Display Rack with Large Storage L23 x W6 for Kitchen Living Room Bathroom Bedroom,B07WRQ9B1B,BAMFOX,46.98,957.0,44959.86,21193.0,19.51,1,4.4,1251.0,7,43.0,BAMFOX,Home & Kitchen,Small Oversize,FBA,6.2x24.8x3.4,10.45,8/21/2019
40,Greenco 4 Cube Intersecting Wall Mounted Floating Shelves Espresso Finish,B07D7HQZ76,Greenco,25.99,1219.0,31681.81,21131.0,10.93,13,4.6,4819.0,5,103.0,Amazon,Home & Kitchen,Large Standard-Size,AMZ,12.9x13.2x5.7,7.65,5/22/2018
41,"ZGO Floating Shelves for Wall Set of 2, Wall Mounted Storage Shelves with Metal Frame and Towel Rack for Bathroom, Kitchen, Bedroom",B087M8DKXQ,ZGO,24.99,5307.0,132621.93,1755.0,9.73,3,4.6,3211.0,8,261.0,ZGO K&B,Home & Kitchen,Large Standard-Size,FBA,6.4x16.6x3.8,3.64,4/24/2020
42,"Floating Shelves Rustic Wood Wall Shelf USA Handmade | Set of 2 (Light Walnut, 24"" x 5.5"")",B07H8VJ32S,Imperative Décor,49.97,2435.0,121676.95,5584.0,19.43,4,4.5,4366.0,7,118.0,Imperative Décor,Home & Kitchen,Small Oversize,FBA,6.0x24.3x5.1,7.0,1/6/2019
43,"Melannco Floating Wall Shelves for Bedroom, Living Room, Bathroom, Kitchen, Nursery, Set of 4, Black, 4 Count",B00F2ZI2VC,MELANNCO,21.6,3139.0,67802.4,4418.0,13.04,12,4.3,14503.0,10,240.0,Amazon,Home & Kitchen,Small Oversize,AMZ,5.0x24.4x4.6,3.15,
44,"Amada Floating Shelves Invisible Wall Mounted 3 Sets, Modern Faux Wood Storage Shelves with Matte Finish, Perfect for Bedroom, Bathroom, Living Room and Kitchen Decoration (Black)",B088ZW8427,AMADA HOMEFURNISHING,36.99,3220.0,119107.8,4317.0,11.99,2,4.5,1862.0,9,122.0,HappyhomeUS,Home & Kitchen,Large Standard-Size,FBA,8.5x17.0x5.5,5.7,
45,"InPlace Shelving, Espresso Lewis Hyman 9084650 Floating Wall Shelf, 47.24 Inch Wide by 2-Inch High, 47.24 in W x 10.2 in D x 2 in H",B00N1IVZUM,InPlace Shelving,32.84,7609.0,249879.56,1418.0,19.67,13,4.5,9160.0,7,311.0,Amazon,Home & Kitchen,Small Oversize,AMZ,12.1x50.0x3.8,11.15,8/26/2014
46,"EACHPAI Corner Floating Shelves Wall Mounted Set of 4, Rustic Wood Wall Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More",B093GKYPSX,EACHPAI,36.99,1611.0,59590.89,5883.0,11.83,1,4.6,284.0,7,81.0,Autobuddy,Home & Kitchen,Large Standard-Size,FBA,11.8x17.6x3.1,4.63,4/26/2021
47,"Willow & Grace Floating Shelves Wood - Live Edge Shelves for Wall Mounted, Modern Rustic All Wood Wall Shelves, Set of 2 for Bedroom, Bathroom, Family Room, Kitchen | Walnut (36"" Set of 2)",B08PDLQY2F,WG WILLOW & GRACE DESIGNS,80.47,1219.0,98092.93,17909.0,26.43,2,4.5,2297.0,9,48.0,Spreetail,Home & Kitchen,Small Oversize,MFN,7.5x36.5x3.0,15.05,12/1/2020
48,"Giftgarden Floating Shelves for Wall with Unique Adorable Bears Cutouts, Rustic Wooden Iron Wall Shelf Bear Decor for Bathroom Cabin Lodge Bedroom Kitchen Living Room Nursery, Black, Set of 2",B087RFZPG6,Giftgarden,23.89,608.0,14525.12,31749.0,9.72,2,4.8,1006.0,7,41.0,GIFT GARDEN,Home & Kitchen,Large Standard-Size,FBA,6.7x16.5x5.9,3.31,
49,"Shelving Solution 4-inch Floating Wall Shelves Set of 3, White",B07CGDXJ2G,Shelving Solution,14.99,689.0,10328.11,31883.0,7.2,1,4.3,3187.0,6,60.0,Healthy Lifee,Home & Kitchen,Large Standard-Size,FBA,3.7x4.9x3.5,1.48,
50,"ROOREVO Floating Shelves Wall Mounted, Wood Wall Shelves , Rustic Wall Decor for Bathroom, Bedroom, Living Room, Kitchen，Set of 3…",B08DG6ND2T,ROOREVO,22.99,90.0,2069.1,70779.0,9.43,1,4.1,6.0,6,3.0,ROOREVO Design,Home & Kitchen,Large Standard-Size,FBA,5.6x17.8x3.6,3.45,7/22/2020
51,"BIROLA White Floating Shelves,Crown Molding Wall Mounted Mantle Shelf of Molding Ledge Shelves Set of 2, 17 Inch(White)",B083Z3CR8H,BIROLA,25.99,455.0,11825.45,54009.0,10.57,1,4.5,665.0,8,10.0,jiangcy123,Home & Kitchen,Large Standard-Size,FBA,4.7x17.5x4.3,2.95,
52,"3 Set Pre-Installed Floating Shelves, Wall Mounted Storage Wood Shelf with Towel Rack, Rustic Decor Accessories for Bathroom, Kitchen, Bedroom, Office, Over Toilet - Brown",B08PB8BYS3,AOZITA,21.99,1280.0,28147.2,20783.0,9.88,1,4.6,447.0,8,99.0,Aozita,Home & Kitchen,Large Standard-Size,FBA,6.8x17.2x4.7,5.05,11/30/2020
53,"Floating Shelves Wall Shelf Solid Wood for Bathroom Bedroom Kitchen Wall Decor Set of 3, Black Wall Shelves",B0994QB3RG,SAUMONIERES,29.98,51.0,1528.98,39376.0,11.08,1,5.0,2.0,7,0.0,Saumonieres,Home & Kitchen,Large Standard-Size,FBA,8.1x17.8x3.3,5.22,7/11/2021
54,"WELLAND 8"" Deep Floating Shelves Wall Mounted Shelf (White, 16inch)",B076D27HN4,WELLAND,29.99,218.0,6537.82,112664.0,10.78,2,4.4,588.0,9,5.0,WELLAND,Home & Kitchen,Large Standard-Size,FBA,10.9x17.5x2.9,3.04,
55,"Mkono Rustic Wood Floating Shelves Wall Mounted Shelving Set of 2 Decorative Wall Storage Shelves with Lip Brackets for Bedroom, Living Room, Bathroom, Kitchen, Hallway, Office",B083QCF3ZW,Mkono,24.99,1164.0,29088.36,11592.0,9.73,1,4.6,1061.0,8,38.0,Mkono,Home & Kitchen,Large Standard-Size,FBA,6.1x17.2x4.4,3.45,1/10/2020
56,"($) Amazon Brand – Rivet Modern Hexagon Honeycomb Floating Wall Shelf Unit with Glass Shelves - 28 x 28 x 6 Inch, Gold",B07HSPHZXD,Rivet,59.49,316.0,18798.84,57047.0,39.01,3,4.8,574.0,5,13.0,Amazon,Home & Kitchen,Medium Oversize,AMZ,30.5x31.0x7.0,11.05,
57,"($) Willow & Grace Floating Shelf Set - Wood Floating Shelves Set of 2 with Gold Iron Corners, All Wood Wall Shelves - Bedroom, Bathroom, Kitchen | Dark Walnut (36"" Set of 2)",B0959NMJXH,WG WILLOW & GRACE DESIGNS,79.36,1219.0,96739.84,17909.0,24.74,1,4.5,2297.0,7,58.0,Spreetail,Home & Kitchen,Small Oversize,MFN,6.6x36.5x2.9,11.15,6/11/2021
58,"($) Floating Wall Shelves with Brackets, Solid Wood, Rustic Wall Mounted Large Shelving Storage, for Kitchens, Bathrooms, Bedrooms, Living Rooms, Farmhouse Wall Décor, 17"" x 11"", Set of 2",B07V71GQ4W,Bleecker Station,39.95,28.0,1118.6,369211.0,13.17,2,4.6,173.0,7,2.0,Bleecker Station,Home & Kitchen,Large Standard-Size,FBA,12.3x17.8x4.6,6.3,
59,($) Metal Storage Wall Mounted Shelves Floating Shelf for Kitchen Bathroom Bedroom Living Room Set of 2 Brushed Grey 0947RZ,B08G432ZPR,RUIDOZ,24.99,3.0,74.97,1099903.0,10.93,1,4.0,19.0,6,0.0,RUIDOZ,Home & Kitchen,Large Standard-Size,FBA,7.9x17.7x7.6,2.5,8/18/2020
